record_id,rd_headcount,avg_salary,subcontractor_costs,consumables_spend,software_costs,num_projects,pct_time_qualifying,qualifying_rd_expenditure
55,16,35000,0,148831,16890,1,0.89,528135
56,14,37780,23526,30678,17473,2,0.72,430976
57,19,49532,11738,13458,17305,3,0.77,750830
58,87,44979,21199,59778,31681,8,0.82,2902024
59,11,35150,62492,5000,13653,1,0.84,383842
60,55,42786,5547,37872,21422,7,0.54,1445562
61,5,45948,406510,18694,9266,6,0.87,452926
62,18,38555,0,5000,2000,1,0.69,496884
63,28,35000,0,24173,16181,6,0.9,860195
64,40,47850,2052,35125,15562,4,0.84,1578748
65,44,42830,14130,22462,9184,5,0.79,1685762
66,48,52086,4799,5480,15292,2,0.6,1463147
67,18,38265,13474,11724,6821,1,0.71,531627
68,16,35000,0,9775,21585,6,0.86,442018
69,50,35000,29287,27076,25465,7,0.82,1697221
70,20,50207,0,22184,13468,8,0.69,756433
71,8,49589,0,5000,9492,5,0.83,337497
72,9,35000,46354,5000,6915,3,0.76,291345
73,11,35000,10826,23620,9132,7,0.71,280589
74,37,50391,84814,19872,9555,6,0.53,1159451
75,27,35000,0,5000,12643,6,0.67,633562
76,44,35000,57644,32048,11723,4,0.73,1185908
77,17,41846,0,15823,2000,2,0.54,387748
78,28,35000,51828,7761,12867,1,0.82,820576
79,41,39059,417520,16131,20997,8,0.68,1461032
80,18,35492,0,20258,2000,1,0.66,451447
81,36,41300,0,28293,15063,6,0.94,1503537
82,13,47559,0,34226,12024,1,0.89,593737
83,18,37524,10522,23601,17655,6,0.5,396013
84,17,41851,8157,19977,15605,4,0.92,672014
85,8,35000,12499,16230,9833,7,0.87,318871
86,37,38310,33362,33267,10979,6,0.68,914829
87,16,35000,54238,17550,2000,1,0.71,491901
88,24,35000,0,29217,12467,3,0.52,521568
89,36,35000,14492,12086,14075,1,0.57,706169
90,35,35827,106961,14145,20073,2,0.54,898086
91,43,46627,88194,26608,26549,9,0.8,1828242
92,22,35000,29984,27008,10706,5,0.69,626223
93,17,36945,16589,26583,2000,1,0.79,536186
94,22,35000,70130,8511,6385,1,0.81,672519
95,5,35000,0,5000,5353,1,0.85,155715
96,7,43722,6388,11740,3337,1,0.5,176279
97,7,40004,33470,6142,2000,1,0.73,256861
98,10,46699,49733,20520,7617,2,0.83,452209
99,34,37163,0,5000,13076,7,0.89,1067279
100,11,35000,0,5000,3381,3,0.83,346140
101,17,35000,0,5000,8918,1,0.57,373935
102,74,44339,180488,17496,25288,9,0.71,2598475
103,18,38212,162354,5263,10364,3,0.93,798348
104,45,35000,26822,18348,19689,6,0.5,823121
105,11,36823,56170,15288,2713,6,0.82,361003
106,20,38825,2014,23629,4912,1,0.78,595974
107,10,56139,9066,7049,13926,1,0.79,414051
108,18,51814,0,6091,2727,4,0.62,596245
109,50,35000,10031,138561,2600,1,0.59,1172770
110,5,35000,85585,24491,2000,5,0.75,206411
111,35,35000,0,13240,14924,5,0.85,845792
112,30,35000,8849,13894,14485,6,0.5,507667
113,14,38924,13293,16285,5594,1,0.75,472475
114,7,45346,0,10884,14235,4,0.83,272438
115,26,35000,251032,28274,2000,6,0.5,664402
116,15,35000,8376,13863,10525,3,0.8,404142
117,29,35000,48964,26716,21818,4,0.5,642260
118,24,36098,323048,7849,4433,4,0.5,647953
119,95,36000,5003,43879,29071,7,0.58,2095689
120,20,35000,7806,11893,4082,2,0.52,446787
